0 16.3851 14474.2 14490.6
1 61.295 14429 14490.3
2 130.447 14359.6 14490
3 219.263 14270.6 14489.9
4 324.686 14165.1 14489.8
5 444.704 14045 14489.7
6 577.875 13911.8 14489.7
7 723.05 13766.6 14489.7
8 879.228 13610.4 14489.6
9 1045.49 13444.1 14489.6
10 1220.97 13268.6 14489.5
11 1404.82 13084.7 14489.5
12 1596.22 12893.3 14489.5
13 1794.35 12695.1 14489.4
14 1998.43 12491 14489.4
15 2207.71 12281.6 14489.4
16 2421.44 12067.9 14489.3
17 2638.92 11850.4 14489.3
18 2859.47 11629.8 14489.3
19 3082.45 11406.8 14489.2
20 3307.24 11182 14489.2
21 3533.27 10955.9 14489.2
22 3760.01 10729.1 14489.2
23 3986.95 10502.2 14489.1
24 4213.62 10275.5 14489.1
25 4439.59 10049.5 14489.1
26 4664.46 9824.62 14489.1
27 4887.85 9601.22 14489.1
28 5109.42 9379.63 14489.1
29 5328.88 9160.17 14489
30 5545.92 8943.11 14489
31 5760.31 8728.71 14489
32 5971.82 8517.2 14489
33 6180.24 8308.77 14489
34 6385.4 8103.61 14489
35 6587.15 7901.86 14489
36 6785.35 7703.67 14489
37 6979.88 7509.13 14489
38 7170.67 7318.34 14489
39 7357.63 7131.38 14489
40 7540.71 6948.31 14489
41 7719.87 6769.16 14489
42 7895.07 6593.96 14489
43 8066.31 6422.73 14489
44 8233.57 6255.47 14489
45 8396.88 6092.17 14489
46 8556.24 5932.82 14489.1
47 8711.68 5777.38 14489.1
48 8863.24 5625.83 14489.1
49 9010.96 5478.12 14489.1
50 9154.88 5334.21 14489.1
51 9295.06 5194.03 14489.1
52 9431.55 5057.55 14489.1
53 9564.42 4924.69 14489.1
54 9693.73 4795.39 14489.1
55 9819.55 4669.58 14489.1
56 9941.94 4547.2 14489.1
57 10061 4428.17 14489.1
58 10176.7 4312.41 14489.2
59 10289.3 4199.87 14489.2
60 10398.7 4090.46 14489.2
61 10505.1 3984.1 14489.2
62 10608.5 3880.73 14489.2
63 10708.9 3780.27 14489.2
64 10806.6 3682.64 14489.2
65 10901.4 3587.77 14489.2
66 10993.6 3495.59 14489.2
67 11083.2 3406.02 14489.2
68 11170.2 3319 14489.2
69 11254.8 3234.45 14489.2
70 11336.9 3152.31 14489.2
71 11416.7 3072.51 14489.2
72 11494.3 2994.97 14489.3
73 11569.6 2919.65 14489.3
74 11642.8 2846.46 14489.3
75 11713.9 2775.36 14489.3
76 11783 2706.27 14489.3
77 11850.1 2639.14 14489.3
78 11915.4 2573.92 14489.3
79 11978.8 2510.54 14489.3
80 12040.3 2448.95 14489.3
81 12100.2 2389.1 14489.3
82 12158.4 2330.93 14489.3
83 12214.9 2274.39 14489.3
84 12269.9 2219.44 14489.3
85 12323.3 2166.02 14489.3
86 12375.2 2114.1 14489.3
87 12425.7 2063.61 14489.3
88 12474.8 2014.53 14489.3
89 12522.5 1966.81 14489.3
90 12568.9 1920.4 14489.3
91 12614 1875.27 14489.3
92 12657.9 1831.37 14489.3
93 12700.6 1788.68 14489.3
94 12742.1 1747.14 14489.2
95 12782.5 1706.73 14489.2
96 12821.8 1667.42 14489.2
97 12860 1629.16 14489.2
98 12897.2 1591.94 14489.1
99 12933.4 1555.71 14489.1
100 12968.6 1520.44 14489.1
101 13002.9 1486.11 14489
102 13036.3 1452.7 14489
103 13068.8 1420.15 14488.9
104 13100.4 1388.47 14488.9
105 13131.2 1357.62 14488.8
106 13161.2 1327.57 14488.7
107 13190.4 1298.3 14488.7
108 13218.8 1269.79 14488.6
109 13246.5 1242.02 14488.5
110 13273.5 1214.97 14488.4
111 13299.8 1188.6 14488.4
112 13325.4 1162.91 14488.3
113 13350.3 1137.89 14488.2
114 13374.6 1113.5 14488.1
115 13398.3 1089.71 14488
116 13421.4 1066.52 14487.9
117 13443.9 1043.93 14487.8
118 13465.8 1021.9 14487.7
119 13487.2 1000.42 14487.6
120 13508 979.477 14487.5
121 13528.3 959.063 14487.4
122 13548.2 939.142 14487.3
123 13567.5 919.711 14487.2
124 13586.3 900.744 14487.1
125 13604.7 882.239 14487
126 13622.7 864.216 14486.9
127 13640.2 846.6 14486.8
128 13657.2 829.425 14486.7
129 13673.9 812.664 14486.6
130 13690.2 796.304 14486.5
131 13706 780.323 14486.4
132 13721.5 764.732 14486.2
133 13736.6 749.497 14486.1
134 13751.4 734.626 14486
135 13765.8 720.091 14485.9
136 13779.9 705.915 14485.8
137 13793.6 692.059 14485.6
138 13807 678.533 14485.5
139 13820.1 665.333 14485.4
140 13832.9 652.424 14485.3
141 13845.4 639.826 14485.2
142 13857.6 627.519 14485.1
143 13869.5 615.477 14485
144 13881.2 603.723 14484.9
145 13892.6 592.223 14484.8
146 13903.7 580.981 14484.7
147 13914.6 569.98 14484.5
148 13925.2 559.241 14484.4
149 13935.6 548.763 14484.3
150 13945.7 538.484 14484.2
151 13955.7 528.457 14484.1
152 13965.4 518.632 14484
153 13974.8 509.042 14483.9
154 13984.1 499.669 14483.8
155 13993.2 490.488 14483.7
156 14002.1 481.509 14483.6
157 14010.8 472.736 14483.5
158 14019.3 464.144 14483.4
159 14027.6 455.723 14483.3
160 14035.7 447.484 14483.2
161 14043.6 439.429 14483.1
162 14051.4 431.543 14483
163 14059 423.819 14482.9
164 14066.5 416.272 14482.8
165 14073.8 408.885 14482.7
166 14080.9 401.651 14482.6
167 14087.9 394.554 14482.5
168 14094.8 387.615 14482.4
169 14101.4 380.821 14482.3
170 14108 374.166 14482.2
171 14114.4 367.662 14482.1
172 14120.7 361.276 14482
173 14126.9 355.028 14481.9
174 14132.9 348.9 14481.8
175 14138.8 342.913 14481.7
176 14144.6 337.054 14481.6
177 14150.2 331.319 14481.6
178 14155.8 325.68 14481.5
179 14161.2 320.143 14481.4
180 14166.6 314.735 14481.3
181 14171.8 309.429 14481.2
182 14176.9 304.232 14481.1
183 14181.9 299.142 14481.1
184 14186.8 294.155 14481
185 14191.6 289.257 14480.9
186 14196.4 284.451 14480.8
187 14201 279.747 14480.7
188 14205.5 275.134 14480.7
189 14210 270.604 14480.6
190 14214.3 266.162 14480.5
191 14218.6 261.807 14480.4
192 14222.8 257.532 14480.3
193 14226.9 253.34 14480.3
194 14231 249.231 14480.2
195 14234.9 245.211 14480.1
196 14238.8 241.275 14480.1
197 14242.6 237.398 14480
198 14246.3 233.596 14479.9
199 14250 229.859 14479.8
200 14253.6 226.2 14479.8
201 14257.1 222.592 14479.7
202 14260.6 219.07 14479.6
203 14263.9 215.614 14479.6
204 14267.3 212.211 14479.5
205 14270.5 208.883 14479.4
206 14273.7 205.619 14479.4
207 14276.9 202.408 14479.3
208 14280 199.257 14479.2
